images,name,image_urls
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/07/e4/3f/7f/baccarat-hotel-residences.jpg', 'path': 'full/2031fd546e305a175482678236e88cc3fe806f11.jpg', 'checksum': '72cb9b592356d9ab883123f23c1903bb'}]","
,
Baccarat Hotel & Residences New York
",https://media-cdn.tripadvisor.com/media/photo-w/07/e4/3f/7f/baccarat-hotel-residences.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/07/44/ee/6a/the-st-regis-new-york.jpg', 'path': 'full/1e7bf357c09ffab0d05df6084cd78d99d36ab8cc.jpg', 'checksum': '22941ba5cbf42f9a8a0b9932015c578a'}]","
,
The St. Regis New York
",https://media-cdn.tripadvisor.com/media/photo-w/07/44/ee/6a/the-st-regis-new-york.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-fw/05/80/c5/d6/lobby-loews-regency-v564365.jpg', 'path': 'full/def8d1194fc4f651b8c9a429aa18f02cf7b443d2.jpg', 'checksum': '00d6e12a3f08bb1ca16ec13bdf1ea426'}]","
,
Loews Regency New York Hotel
",https://media-cdn.tripadvisor.com/media/photo-fw/05/80/c5/d6/lobby-loews-regency-v564365.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/02/60/e5/c3/superior-riverview-suite.jpg', 'path': 'full/524caabb8275e14d1c4941dfe6738d72bef118b2.jpg', 'checksum': '9955ee7f0e48109c06a70dfb091237c8'}]","
,
Conrad New York
",https://media-cdn.tripadvisor.com/media/photo-w/02/60/e5/c3/superior-riverview-suite.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/08/bd/89/df/1-hotel-central-park.jpg', 'path': 'full/a32d4de2635a6b6a2f657ddc70aacf3618863019.jpg', 'checksum': '3fc6c2efb37da66d5a7fe6db2154e194'}]","
,
1 Hotel Central Park
",https://media-cdn.tripadvisor.com/media/photo-w/08/bd/89/df/1-hotel-central-park.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/0c/f5/74/43/refinery-hotel.jpg', 'path': 'full/1c1055c51d3f3047bfc7b9a79ca60aa391eefac6.jpg', 'checksum': '8120ebe550b89508492eebf9e2adfe16'}]","
,
Refinery Hotel
",https://media-cdn.tripadvisor.com/media/photo-w/0c/f5/74/43/refinery-hotel.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-o/0d/e5/d5/77/roche-bobois-penthouse.jpg', 'path': 'full/b41111c30d9932c1c397d508d291c0345a090447.jpg', 'checksum': 'd40bf3c6546886cf782b9a6aaf79200b'}]","
,
Langham Place, New York, Fifth Avenue
",https://media-cdn.tripadvisor.com/media/photo-o/0d/e5/d5/77/roche-bobois-penthouse.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/0b/a3/32/e3/hotel-entrance-night.jpg', 'path': 'full/8a092f3ebaa6fc00777ed18c99b941c5d1094ba5.jpg', 'checksum': '6aedac71251e35787fba7d5b053a99dc'}]","
,
The Mark
",https://media-cdn.tripadvisor.com/media/photo-w/0b/a3/32/e3/hotel-entrance-night.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/0c/e2/a4/84/premier-studio-living.jpg', 'path': 'full/cd8f27cae99183cf2c6b95a6185ee66801ac1e6a.jpg', 'checksum': '9fabae043c935b755d7ec2522a01e790'}]","
,
West 57th Street by Hilton Club
",https://media-cdn.tripadvisor.com/media/photo-w/0c/e2/a4/84/premier-studio-living.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/07/3d/be/2e/gardens-nyc-an-affinia.jpg', 'path': 'full/d2c7f02fc8fe8aa1a5de3b49a42a39f11ade825a.jpg', 'checksum': '5acd956781a5a62ba2fe79e3b2d843c2'}]","
,
Gardens NYC-an Affinia hotel
",https://media-cdn.tripadvisor.com/media/photo-w/07/3d/be/2e/gardens-nyc-an-affinia.jpg
